name,salary,area_name,published_at
Python-программист,9386.0,Екатеринбург,2006-08-11T08:32:15+0400
Программист Python,14701.0,Санкт-Петербург,2006-09-20T12:46:33+0400
Программист Python,,Россия,2007-06-13T18:14:17+0400
Программист Python + MySQL,,Москва,2007-11-09T10:36:52+0300
ESP Engineer / программист Python и Java,67849.0,Москва,2007-11-23T12:10:03+0300
Программист Python/PHP,55512.0,Москва,2007-11-26T18:05:49+0300
Программист Python + MySQL,,Москва,2007-12-17T17:19:36+0300
ESP Engineer / программист Python и Java,67147.0,Москва,2007-12-24T10:10:49+0300
Программист Python,32500.0,Санкт-Петербург,2008-02-27T08:50:44+0300
Программист Python,45000.0,Москва,2008-05-19T14:43:39+0400
Программист Python,45000.0,Москва,2008-06-27T17:01:38+0400
Программист Python,,Санкт-Петербург,2008-10-23T15:11:33+0400
Старший программист Python,40000.0,Санкт-Петербург,2008-11-21T09:21:45+0300
Программист Python,35000.0,Санкт-Петербург,2008-11-21T09:27:03+0300
Разработчик на Python,,Нижний Новгород,2008-12-01T12:36:05+0300
Программист python,40000.0,Москва,2009-03-26T11:16:48+0300
Программист Python,60000.0,Москва,2009-04-20T12:19:25+0400
Программист Python,60000.0,Москва,2009-04-23T10:47:40+0400
Ведущий программист Python (Django),77500.0,Москва,2009-05-07T16:50:58+0400
Ведущий программист Python,77500.0,Россия,2009-05-07T17:02:16+0400
Программист Python+Django,80000.0,Москва,2009-06-08T12:10:24+0400
Программист Python,,Казань,2009-06-17T17:04:57+0400
Старший программист Python,50000.0,Санкт-Петербург,2009-07-02T17:42:33+0400
Программист Python,40000.0,Санкт-Петербург,2009-07-03T10:53:03+0400
Инженер - программист Python,35000.0,Нижний Новгород,2009-07-09T10:45:15+0400
Программист Python,60000.0,Москва,2009-07-22T19:40:18+0400
Программист PYTHON,50000.0,Москва,2009-07-29T17:21:01+0400
Программист Python/ Django,60000.0,Москва,2009-08-17T12:54:14+0400
"Программист Python, Django",65000.0,Москва,2009-10-15T11:51:40+0400
Программист Python,,Москва,2009-11-17T10:33:43+0300
"Программист Python, Django",65000.0,Москва,2009-11-23T19:17:51+0300
Python-программист,,Москва,2009-11-25T14:35:47+0300
Python-программист,,Москва,2009-12-08T13:35:16+0300
Программист Python (Plone/Zope),,Украина,2009-12-09T16:27:28+0300
Программист python (django),50000.0,Москва,2010-01-11T15:16:12+0300
Python-разработчик,36517.0,Екатеринбург,2010-02-01T14:15:28+0300
Программист python (django),,Москва,2010-02-11T16:37:38+0300
Программист Python,115000.0,Москва,2010-02-27T12:38:57+0300
Инженер-программист Python,27500.0,Нижегородская область,2010-03-03T09:38:54+0300
Python-разработчик,35938.0,Екатеринбург,2010-03-04T09:31:13+0300
Программист Python,40000.0,Санкт-Петербург,2010-03-09T17:56:32+0300
Старший программист Python,50000.0,Санкт-Петербург,2010-03-09T17:56:47+0300
Программист Python,52409.0,Новосибирск,2010-03-15T08:03:40+0300
Программист python/django,22500.0,Воронежская область,2010-04-12T10:27:56+0400
Программист Python,35000.0,Санкт-Петербург,2010-04-16T17:41:03+0400
Программист Python,70000.0,Москва,2010-04-19T09:28:49+0400
Программист Python,,Москва,2010-04-22T19:35:03+0400
Python-программист,,Москва,2010-05-05T14:58:04+0400
Программист python/django,55000.0,Москва,2010-05-06T17:04:04+0400
Программист Python,67053.0,Москва,2010-05-12T13:44:12+0400
Программист Python,70000.0,Москва,2010-05-21T08:16:19+0400
Python-разработчик,39357.0,Екатеринбург,2010-05-24T08:56:19+0400
Программист Python,,Нижний Новгород,2010-05-28T15:24:42+0400
Python-разработчик,25000.0,Казань,2010-05-31T10:33:31+0400
Программист Python/Django,65000.0,Москва,2010-06-01T17:05:27+0400
Программист Python,,Москва,2010-06-02T17:29:28+0400
Инженер-программист Python,27500.0,Нижегородская область,2010-06-03T10:22:41+0400
Программист Python,37500.0,Санкт-Петербург,2010-06-07T18:14:16+0400
Разработчик на Python + Django,80000.0,Москва,2010-06-08T17:11:20+0400
Программист Python,,Москва,2010-06-17T15:18:37+0400
