area_name,salary
Гродно,368449.00
Кипр,339550.00
Кутаиси,290142.00
Тбилиси,275727.67
Батуми,259124.50
Баку,259124.50
Якутск,240000.00
Армения,200000.00
Абакан,195000.00
Иннополис,170357.14
Астрахань,156000.00
Кострома,149666.67
Иваново (Ивановская область),145535.71
Калининград,143582.54
Болгария,143181.00
Севастополь,142968.75
Чехия,142061.00
Северск (Томская область),140000.00
Железногорск (Красноярский край),140000.00
Сургут,139625.00
Москва,137151.33
Борисполь,133670.00
Могилев,132365.00
Астана,131847.29
Кишинёв,130394.00
Таганрог,128125.00
Казань,128011.80
Самара,127765.27
Альметьевск,125000.00
Ульяновск,124456.52
Воронеж,122887.57
Нижний Новгород,122616.43
Новосибирск,122142.59
Симферополь,121107.80
Минск,120573.87
Лобня,120000.00
Балашиха,120000.00
Солнечногорск,120000.00
Гомель,119511.00
Саратов,117174.42
Белгород,116666.67
Долгопрудный,115000.00
Краснодар,111369.38
Санкт-Петербург,110645.01
Омск,110508.14
Королев,110000.00
Уссурийск,110000.00
Пушкино (Московская область),110000.00
Мытищи,110000.00
Пермь,109273.19
Томск,107619.11
Саранск,105000.00
Обнинск,103333.33
Тюмень,103230.75
Екатеринбург,101110.68
Киев,100862.28
Львов,100683.50
Хабаровск,100453.12
Жуковка (Московская область),100000.00
Московский,100000.00
Ревда,100000.00
Йошкар-Ола,100000.00
Ярославль,99520.83
Калуга,99235.29
Красногорск,99166.67
Ростов-на-Дону,98568.77
Ижевск,97982.97
Зеленоград,97857.14
Харьков,97408.80
Уфа,95525.00
Владивосток,94919.35
Бишкек,94585.80
Химки,93333.33
Набережные Челны,91704.55
Тула,91153.85
Кемерово,90096.15
Магадан,90000.00
Ишим,90000.00
Тобольск,90000.00
Биробиджан,90000.00
Ангарск,90000.00
Благовещенск (Республика Башкортостан),90000.00
Великий Новгород,90000.00
Ханты-Мансийск,90000.00
Китай,90000.00
Петропавловск-Камчатский,90000.00
Воркута,90000.00
Кировск (Мурманская область),90000.00
Мурманск,90000.00
Челябинск,88903.26
Владимир,88750.00
Ташкент,86580.03
Волжский (Волгоградская область),85625.00
Щелково,85000.00
Красноярск,83233.84
Тверь,82870.37
Череповец,82500.00
Донецк (Украина),81167.60
Нижний Тагил,81000.00
Дубна,80000.00
Рыбинск,79675.00
Оренбург,79107.14
Запорожье,78286.20
Киров (Кировская область),75312.50
Рязань,75312.50
Алупка,75000.00
Николаев,72323.50
Смоленск,71474.36
Новокузнецк,71093.75
Барнаул,70560.00
Беларусь,70324.00
Переславль-Залесский,70000.00
Курган,68750.00
Архангельск,68750.00
Орск,68750.00
Шадринск,68750.00
Тольятти,68541.67
Караганда,68397.00
Брянск,68000.00
Брест,67214.00
Батайск,66250.00
Россия,65833.33
Подольск (Московская область),65000.00
Одинцово,65000.00
Украина,65000.00
Сочи,64545.45
Пенза,64137.93
Иркутск,64130.85
Тамбов,63222.22
Чебоксары,61250.00
Волгоград,61007.69
Липецк,60625.00
Алматы,59891.74
Днепр (Днепропетровск),59764.75
Орел,57291.67
Вологда,56081.62
Волжский(Волгоградская область),55909.09
Магнитогорск,55000.00
Петрозаводск,54473.68
Кызылорда,53136.00
Нур-Султан,51769.08
Серпухов,51666.67
Саки,50000.00
Рославль,50000.00
Воткинск,47500.00
Волгодонск,45000.00
Благовещенск (Амурская область),44250.00
Бердск,44166.67
Горно-Алтайск,42500.00
Сергиев Посад,42500.00
Нижневартовск,42500.00
Агинское,41000.00
Кокшетау,40054.00
Ставрополь,40000.00
Шахты,40000.00
Дзержинск (Нижегородская область),39583.33
Усть-Каменогорск,38802.00
Латвия,37500.00
Индия,37500.00
Нижнекамск,37500.00
Литва,37500.00
Юго-Центральный округ,37500.00
Великие Луки,36666.67
Эстония,35000.00
Димитровград,34500.00
Павлодар,34360.00
Уральск,34360.00
Костанай,34360.00
Петропавловск,34360.00
Темиртау,34360.00
Талдыкорган,34360.00
Семей,34360.00
Пятигорск,33750.00
Псков,31350.00
Самарканд,28802.50
Нижегородская область,27500.00
Махачкала,25000.00
Воронежская область,22500.00
Курск,21666.67
Алейск,12916.67
Удмуртская Республика,10000.00
Луганск,8980.00
