area_name,salary
Айет,2827558.00
Бар,1245705.50
Калинковичи,865344.38
Шахрисабз,674928.00
Шри-Ланка,500389.67
Хива,455873.67
Шотландия,419206.09
Жолква,409405.00
Винники,409405.00
Золочев (Львовская область),409405.00
Жидачов,409405.00
Моршин,409405.00
Глиняны,409405.00
Дубляны,409405.00
Добромиль,409405.00
Виноградное (Калмыкия),402733.50
Япония,392768.86
Бельгия,390010.34
Германия,386273.96
Мальта,354148.00
ЮАР,349530.40
Египет,334580.71
Алжир,333624.52
Текели,316027.22
Албания,312466.59
Финляндия,307174.95
Афганистан,306467.06
Швеция,296587.25
Липовец,296279.50
Андорра,295783.67
Великобритания,289012.39
Ирландия,283397.90
Красноград,282080.00
Старобельск,279840.00
Австрия,277770.07
Бангладеш,276944.11
Канада,276804.49
Дания,276720.26
Черногория,276129.61
Словения,270134.54
Ангола,267910.75
Австралия,265715.05
Швейцария,265267.58
Кипр,261947.39
Эльбрус (Кабардино-Балкария),257500.00
Греция,255780.08
Тбилиси,255775.52
Венгрия,251441.78
Алат (Узбекистан),250701.00
Аргентина,249827.28
Знаменский,246984.24
Городок (Львовская область),243102.00
Сербия,240152.33
Кутаиси,237443.56
Ахалцихе,236605.50
Городок (Хмельницкая область),236354.00
Аджигабул,236305.00
Агсу,236305.00
Акстафа,236305.00
Устилуг,236242.00
Ратно,236242.00
Маневичи,236242.00
Литин,236242.00
Иваничи,236242.00
Магдалиновка,236242.00
Верховцево,236242.00
Межевая,236242.00
Любешов,236242.00
Казатин,236242.00
Бершадь,236242.00
Локачи,236242.00
Старая Выжевка,236242.00
Киверцы,236242.00
Гайсин,236242.00
Кринички,236242.00
Гнивань,236242.00
Ильинцы,236242.00
Крыжополь,236242.00
Батуми,229925.90
ОАЭ,227752.91
Красная Поляна,226245.02
Болгария,225470.05
Брянка (Красноярский край),225000.00
Турция,224982.87
Армения,223860.85
Каменка-Бугская,223140.50
Кобрин,222897.41
Багамские Острова,221411.50
Португалия,215105.50
США,212617.72
Сириус,208290.62
Катар,206575.85
Боливия,203682.88
Южная Корея,201819.69
Агроном (Липецкая область),200000.00
Верхняя Маза (Ульяновская область),200000.00
Житное (Астраханская область),200000.00
Эстония,193572.40
Франция,193525.27
Сингапур,193408.88
Чехия,193251.42
Петропавловка (Республика Бурятия),191391.07
Арбузинка,191052.50
Нигерия,189924.18
Стрелецкое,188715.36
Покров (Днепропетровская область),187386.00
Словакия,185179.53
Нововолынск,180811.25
Сенаки,180715.00
Самтредиа,180715.00
Чиатура,180715.00
Ткибули,180715.00
Озургети,180715.00
Болниси,180715.00
Каспи,180715.00
Гардабани,180715.00
Цхалтубо,180715.00
Марнеули,180715.00
Хони,180715.00
Чумикан,180000.00
Польша,179758.13
Нидерланды,177257.11
Куба (Азербайджан),176995.19
Усть-Нера,176964.29
Абхазия,176083.47
Семиозерье,175000.00
Гарболово,175000.00
Громово,175000.00
Мичуринское,175000.00
Стеклянный,175000.00
Глебычево,175000.00
Королевство Саудовская Аравия,174067.42
Ананьев,172167.00
Покровское (городской округ Истра),170766.11
Другое,169633.50
Термез,168947.91
Норвегия,168132.82
Литва,167574.01
Камень-Каширский,167313.50
Любомль,167313.50
Рожище,167313.50
Турийск,167313.50
Горохов,167313.50
Шацк (Волынская область),167313.50
Берестечко,167313.50
Крюково,165000.00
Телави,158658.00
Мамонтово,157733.54
Туркменистан,156656.12
Индонезия,155740.00
Кобулети,155142.25
Израиль,154484.78
Спасское (Приморский край),150000.00
Мелехово (Владимирская область),150000.00
Уральский (Удмуртская Республика),150000.00
Оротукан,150000.00
Китай,149747.69
Грузия,146726.27
Алга (Актюбинская обл),143142.04
Латвия,143122.79
Кулунда,142556.62
Жатай,142500.00
Румыния,141721.96
Каменка (Кабардино-Балкария),141250.00
Карагач (Кабардино-Балкария),140375.00
Люксембург,139572.75
Новая Зеландия,139070.44
Азербайджан,134735.29
Малайзия,134417.44
Боржоми,134102.71
Республика Тыва,131993.00
Республика Алтай,131993.00
Республика Бурятия,131993.00
Амурская область,131993.00
Подгорный,131875.00
Новоплатнировская,130833.33
Сергиевское (Орловская область),130000.00
Артемовский (Иркутская область),129600.00
Республика Куба,128347.12
Соловьёвск,128333.33
Новолабинская,128333.33
Новомалороссийская,128333.33
Узбекистан,127802.14
Ладыжин,127540.00
Дзержинск (Донецкая область),124829.75
Таджикистан,124260.40
Сагареджо,124059.00
Испания,123089.96
Кентау (ЮКО),123021.04
Новый Уоян,122727.27
Орша,122699.95
Мцхета,121666.00
Хашури,121666.00
Верхняя Тойма,120031.00
Барабаново,120000.00
Колюбакино,120000.00
Малокурильское,120000.00
Засечное,120000.00
Сосенское,120000.00
Цхинвал,119377.36
Аксай (Дагестан),118214.29
Токмак,117500.00
Ветлужский (Нижегородская область),117500.00
Кубринск,117500.00
Первомайский (Забайкальский край),116860.00
Зугдиди,116118.67
Зеленодольск (Днепропетровская область),116035.00
Камчатский край,115996.50
Архангельское (Московская область),115000.00
Беликово (Московская область),115000.00
Монако,112629.62
Оман,112629.00
Бованенково,112400.00
Таиланд,112149.91
Карши,111681.22
Новый Порт,111250.00
Филиппины,110863.76
Агеево (Тамбовская область),110000.00
Иннополис,109416.17
Италия,109401.31
Поти,109049.67
Нукус,108960.94
Республика Сейшельские острова,108453.44
Екатериновка (Краснодарский край),108333.33
Светлогорск (Беларусь),108153.46
Вьетнам,108139.60
Каменское,108012.67
Новорождественская,107750.00
Сабетта (Ямало-Ненецкий АО),106707.32
Гори,106368.00
Русскинская,105000.00
Комсомольск (Томская область),105000.00
Чульман,105000.00
Макаров (Киевская область),104376.00
Советский (Новосибирская область),103333.33
Кедровый (Красноярский край),103111.11
Республика Саха (Якутия),102246.50
Емецк,101781.00
Денау,101729.00
Баку,101454.63
Республика Сенегал,101377.25
Михайловка (Иркутская область),100400.00
Седельниково,100000.00
Смоляниново,100000.00
Хорлово,100000.00
Новый (Камчатский край),100000.00
Северный (Нижегородская область),100000.00
Лычково,100000.00
Кацивели,100000.00
Горки (Ямало-Ненецкий АО),100000.00
Приполярный,100000.00
Соколовый,100000.00
Ома (Ямало-Ненецкий АО),100000.00
Малореченское,100000.00
Большегривское,100000.00
Найстенъярви,100000.00
Кишинёв,99524.99
Близнюки,98385.00
Валки,98385.00
Дукат (Магаданская область),98000.00
Медвежье Озеро,97511.35
Кыра,97500.00
Минское,97250.50
Конезавод имени Буденного,96668.00
Коктебель,96645.09
Лесное (Тверская область),96500.00
Ташкиново,96500.00
Выползово,96250.00
Республика Хакасия,96181.50
Излучинск,95945.18
Ханымей,95000.00
Нижнеангарск,95000.00
Москва,94504.68
Навои,94429.09
Певек,94398.76
Актаныш,94220.62
Вольногорск,93948.00
Рустави,93696.60
Асака,93435.75
Зестафони,93429.00
Троицкое (Хабаровский край),93333.33
Новокуровка (Хабаровский край),93333.33
Виноградов,93177.33
Клетня,92890.76
Ильинка (Хабаровский край),92500.00
Охотск,91500.00
Назарово,91345.85
Металлплощадка,91250.00
Эквадор,91243.35
Емца,91124.80
Александровская (Краснодарский край),91025.00
Калиновка,90943.00
Железнодорожный (Иркутская область),90672.73
Индия,90517.69
Заполярный (Ямало-Ненецкий АО),90402.60
Новокорсунская,90400.00
Двинской,90104.00
Бея,90000.00
Хандыга,90000.00
Алексеевка (Ростовская область),90000.00
Республика Кения,89966.90
Сочи,89526.50
Новолеушковская,89500.00
Горки (Республика Беларусь),89183.19
Лазаревское,88179.37
Лежнево,88142.86
Каменка,88109.25
Жуковка (Московская область),87682.06
Краснооктябрьский (Адыгея),87500.00
Февральск (Амурская область),87350.00
Развилка (Московская область),87242.02
Хорватия,87108.47
Белое Море,86666.67
Новодеревянковская,86250.00
Октябрьское (Ханты-Мансийский АО),86200.00
Горьковское,86000.00
Глубокое (Восточно-Казахстанская область),85899.33
Богородское (Московская область),85833.33
Гянджа,85469.45
Ямбург (Ямало-Ненецкий АО),85392.86
Успенское (Московская область),85000.00
Татариново,85000.00
Мирный (Республика Саха (Якутия)),84857.41
Киев,84652.89
Сабетта,84500.00
Сосновый Бор (Ленинградская область),84399.51
Алтай (Зыряновск),84396.76
Тайвань,84362.82
Белушья Губа,84270.67
Ясногорск (Забайкальский край),84100.00
Ильинско-Подомское,84046.75
"Мирный (Московская область, Люберецкий район)",84000.00
Эвенск,83953.85
Новоаганск,83750.00
Ваганово,83750.00
Романово,83333.33
Пинск,83332.22
Новоджерелиевская,83016.67
Мурино,82729.84
Павловка (Павловский район Ульяновской области),82500.00
Мосрентген,82500.00
Донское (Республика Крым),82500.00
Сент-Винсент и Гренадины,82188.00
Приобье,82142.86
Дрожжино,81909.09
Белогорск (Крым),81881.72
Октябрьский (Камчатский край),81666.67
Белый Яр (Республика Хакасия),81666.67
Иран,81568.80
Намибия,81500.78
Владимир-Волынский,81251.50
Коротчаево,80916.67
Санкт-Петербург,80642.36
Северо-Енисейский (Красноярский край),80630.23
Омская область,80398.60
Темясово,80333.33
Эльбан,80263.16
Кривошеино,80166.67
Кысыл-Сыр,80146.67
Другие регионы,80076.45
Петрокаменское,80000.00
Калиновка (Байкаловский район),80000.00
Косино,80000.00
Махнево,80000.00
Натальинск,80000.00
Астапово,80000.00
Алпатьево,80000.00
Туринская Слобода,80000.00
Песчаное,80000.00
Вулканный,80000.00
Средний Бугалыш,80000.00
Усть-Вымский район,80000.00
Алфимово,80000.00
Калья,80000.00
Урмикеево,80000.00
Понтонный,80000.00
Николо-Павловское,80000.00
Первомайский (Горноуральский городской округ),80000.00
Боброво,80000.00
Уралец,80000.00
