area_name,count,percent
Москва,2108713,33.29874
Санкт-Петербург,644114,10.17122
Минск,231330,3.65294
Новосибирск,151775,2.39668
Киев,140490,2.21848
Екатеринбург,138936,2.19394
Нижний Новгород,132234,2.08811
Алматы,126952,2.00470
Казань,124811,1.97089
Воронеж,105241,1.66186
Краснодар,93283,1.47303
Ростов-на-Дону,85762,1.35427
Самара,83108,1.31236
Пермь,64501,1.01854
Уфа,57764,0.91215
Челябинск,50974,0.80493
Красноярск,49725,0.78521
Саратов,46042,0.72705
Омск,43558,0.68783
Томск,40665,0.64214
Нур-Султан,40091,0.63308
Ярославль,37512,0.59235
Волгоград,36929,0.58315
Ижевск,36449,0.57557
Тула,34650,0.54716
Тюмень,34279,0.54130
Ульяновск,29524,0.46621
Иркутск,29056,0.45882
Ташкент,28780,0.45447
Тверь,28681,0.45290
Рязань,27613,0.43604
Владивосток,27330,0.43157
Калининград,25182,0.39765
Барнаул,24471,0.38642
Пенза,23558,0.37200
Хабаровск,23036,0.36376
Белгород,22563,0.35629
Владимир,21869,0.34533
Тольятти,21173,0.33434
Киров (Кировская область),20822,0.32880
Харьков,20583,0.32503
Чебоксары,19390,0.30619
Набережные Челны,19206,0.30328
Липецк,19150,0.30240
Иваново (Ивановская область),17033,0.26897
Оренбург,17031,0.26894
Сочи,16831,0.26578
Калуга,16758,0.26463
Кемерово,16600,0.26213
Брянск,16037,0.25324
Астана,15826,0.24991
Курск,15363,0.24260
Ставрополь,15100,0.23844
Смоленск,13287,0.20982
Симферополь,12788,0.20194
Тамбов,12706,0.20064
Зеленоград,12602,0.19900
Орел,12187,0.19245
Днепр (Днепропетровск),12042,0.19016
Кострома,11979,0.18916
Севастополь,11745,0.18547
Вологда,11650,0.18397
Караганда,11205,0.17694
Львов,11100,0.17528
Новокузнецк,10912,0.17231
Одесса,10869,0.17163
Таганрог,10640,0.16802
Йошкар-Ола,10507,0.16592
Астрахань,9642,0.15226
Саранск,9394,0.14834
Гомель,9053,0.14296
Архангельск,8182,0.12920
Брест,8156,0.12879
Великий Новгород,8008,0.12645
Бишкек,7990,0.12617
Подольск (Московская область),7895,0.12467
Химки,7888,0.12456
Тбилиси,7616,0.12026
Череповец,7603,0.12006
Петрозаводск,7471,0.11797
Сургут,7272,0.11483
Атырау,7191,0.11355
Магнитогорск,7142,0.11278
Мурманск,7079,0.11178
Курган,6842,0.10804
Улан-Удэ,6758,0.10672
Гродно,6696,0.10574
Мытищи,6605,0.10430
Псков,6579,0.10389
Витебск,6078,0.09598
Обнинск,6076,0.09595
Чита,5815,0.09182
Благовещенск (Амурская область),5771,0.09113
Шымкент,5249,0.08289
Новороссийск,5229,0.08257
Могилев,5158,0.08145
Кипр,4867,0.07685
Красногорск,4856,0.07668
Одинцово,4759,0.07515
Иннополис,4738,0.07482
Дзержинск (Нижегородская область),4666,0.07368
Королев,4539,0.07168
Балашиха,4491,0.07092
Люберцы,4474,0.07065
Усть-Каменогорск,4405,0.06956
Южно-Сахалинск,4285,0.06766
Павлодар,4219,0.06662
Пятигорск,4217,0.06659
Нижневартовск,4210,0.06648
Россия,4156,0.06563
Домодедово,4051,0.06397
Армения,4023,0.06353
Донецк (Украина),3950,0.06237
Старый Оскол,3922,0.06193
Сыктывкар,3913,0.06179
Нижний Тагил,3847,0.06075
Якутск,3696,0.05836
Махачкала,3598,0.05682
Запорожье,3467,0.05475
Альметьевск,3455,0.05456
Костанай,3433,0.05421
Баку,3324,0.05249
Щелково,3293,0.05200
Новый Уренгой,3178,0.05018
Стерлитамак,3170,0.05006
Актобе,3129,0.04941
Волжский(Волгоградская область),3116,0.04920
Нижнекамск,3110,0.04911
Новочеркасск,3104,0.04902
Абакан,3080,0.04864
Энгельс,3059,0.04830
Петропавловск-Камчатский,3010,0.04753
Ханты-Мансийск,2995,0.04729
Рыбинск,2981,0.04707
Долгопрудный,2731,0.04313
Раменское,2675,0.04224
Норильск,2670,0.04216
Актау,2659,0.04199
Бийск,2609,0.04120
Ногинск,2490,0.03932
Винница,2459,0.03883
Жуковский,2440,0.03853
Пушкино (Московская область),2428,0.03834
Ангарск,2424,0.03828
Дубна,2373,0.03747
Комсомольск-на-Амуре,2372,0.03746
США,2311,0.03649
Уральск,2311,0.03649
Лобня,2297,0.03627
Миасс,2293,0.03621
Сергиев Посад,2290,0.03616
Ковров,2287,0.03611
Братск,2259,0.03567
Волгодонск,2252,0.03556
Магадан,2218,0.03502
Серпухов,2215,0.03498
Солнечногорск,2193,0.03463
Коломна,2183,0.03447
Шахты,2156,0.03405
Волжский (Волгоградская область),2123,0.03352
Орск,2100,0.03316
Владикавказ,1999,0.03157
Дмитров,1990,0.03142
Электросталь,1981,0.03128
Петропавловск,1975,0.03119
Бердск,1975,0.03119
Николаев,1971,0.03112
Новомосковск (Тульская область),1964,0.03101
Ноябрьск,1888,0.02981
Сербия,1833,0.02894
Нефтеюганск,1822,0.02877
Сызрань,1803,0.02847
Анапа,1781,0.02812
Чехов,1766,0.02789
Нефтекамск,1737,0.02743
Майкоп,1721,0.02718
Видное,1713,0.02705
Германия,1708,0.02697
Армавир,1688,0.02666
Клин,1663,0.02626
Елабуга,1660,0.02621
Муром,1650,0.02606
Польша,1646,0.02599
Арзамас,1644,0.02596
Истра,1633,0.02579
Батайск,1625,0.02566
Димитровград,1603,0.02531
Балаково,1599,0.02525
Каменск-Уральский,1596,0.02520
Наро-Фоминск,1578,0.02492
Зеленодольск (Республика Татарстан),1576,0.02489
Ялта,1562,0.02467
Железнодорожный,1557,0.02459
Находка,1556,0.02457
Орехово-Зуево,1556,0.02457
Березники,1542,0.02435
Кстово,1538,0.02429
Златоуст,1534,0.02422
Верхняя Пышма,1528,0.02413
Новочебоксарск,1513,0.02389
Новокуйбышевск,1456,0.02299
Салават,1452,0.02293
Кокшетау,1434,0.02264
Тобольск,1428,0.02255
Уссурийск,1425,0.02250
Адлер,1415,0.02234
Октябрьский (Республика Башкортостан),1389,0.02193
Артем,1388,0.02192
Первоуральск,1370,0.02163
Ступино,1319,0.02083
Семей,1319,0.02083
Фрязино,1318,0.02081
Прокопьевск,1313,0.02073
Северодвинск,1311,0.02070
Тараз,1296,0.02047
Чернигов,1296,0.02047
Черкассы,1264,0.01996
Реутов,1242,0.01961
Нальчик,1236,0.01952
Элиста,1229,0.01941
Житомир,1223,0.01931
Московская область - Север,1192,0.01882
Гатчина,1182,0.01866
Аксай (Ростовская область),1165,0.01840
Троицк (Московская область),1161,0.01833
Центральный округ,1134,0.01791
Херсон,1129,0.01783
Ессентуки,1120,0.01769
Батуми,1115,0.01761
Полтава,1112,0.01756
Колпино,1106,0.01746
Ачинск,1105,0.01745
Грозный,1081,0.01707
Всеволожск,1076,0.01699
Ивантеевка,1053,0.01663
Елец,1051,0.01660
Азов,1034,0.01633
Луганск,1024,0.01617
Минеральные Воды,1016,0.01604
Невинномысск,1016,0.01604
Горно-Алтайск,1011,0.01596
Выкса,1011,0.01596
Березовский (Свердловская область),1010,0.01595
Керчь,995,0.01571
Черкесск,994,0.01570
Украина,987,0.01559
Турция,976,0.01541
Великие Луки,968,0.01529
Кривой Рог,962,0.01519
Камышин,955,0.01508
Геленджик,954,0.01506
Талдыкорган,927,0.01464
Александров,924,0.01459
Северск (Томская область),917,0.01448
Воткинск,916,0.01446
Салехард,900,0.01421
Ухта,897,0.01416
Железногорск (Курская область),894,0.01412
Саров,885,0.01398
Копейск,880,0.01390
Сарапул,865,0.01366
Выборг,865,0.01366
Климовск (Московская область),863,0.01363
Туапсе,856,0.01352
Кызыл,855,0.01350
Кингисепп,854,0.01349
Рубцовск,849,0.01341
Воскресенск,847,0.01337
Кисловодск,847,0.01337
Бузулук,827,0.01306
Бор,813,0.01284
Кызылорда,811,0.01281
Голицыно,806,0.01273
Евпатория,790,0.01247
Тихвин,789,0.01246
Хмельницкий,780,0.01232
Нахабино,779,0.01230
Ленинск-Кузнецкий,772,0.01219
Котельники,769,0.01214
Новошахтинск,768,0.01213
Глазов,768,0.01213
Бугульма,768,0.01213
Барановичи,761,0.01202
Черногория,760,0.01200
Сумы,750,0.01184
Павловский Посад,747,0.01180
